06:17:48.773735 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.773738 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.773804 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773810 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.773861 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773869 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.773909 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.773921 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.773963 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.773978 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774019 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774028 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.774060 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774101 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.774105 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774160 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774164 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.774203 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.774220 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774258 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.774277 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774319 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774322 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.774376 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774392 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.774416 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774458 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774457 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.774515 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774527 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.774557 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774585 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.774598 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774622 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.774662 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774697 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 176
06:17:48.774703 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774746 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774758 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.774786 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774829 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.774832 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774886 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.774904 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.774927 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.774945 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.774973 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.774981 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.775040 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775061 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 202
06:17:48.775106 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775120 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.775147 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775190 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.775193 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775248 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775251 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.775290 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.775306 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775346 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.775363 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775405 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775416 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 110
06:17:48.775446 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775490 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.775491 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775547 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775554 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.775594 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.775606 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775651 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.775663 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775705 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775716 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.775745 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.775787 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.775790 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.775843 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775848 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.775887 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.775903 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.775944 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.775959 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776000 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776009 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.776040 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776081 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.776085 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776140 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 73
06:17:48.776145 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.776183 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.776199 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.776239 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.776256 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776297 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776303 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.776354 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.776373 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.776396 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776437 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776438 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.776494 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.776510 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.776534 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776575 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776575 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 108
06:17:48.776632 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.776644 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 124
06:17:48.776673 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776702 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 81
06:17:48.776714 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776739 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.776771 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 71
06:17:48.776830 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.776834 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 150
06:17:48.776883 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
06:17:48.776903 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.776926 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 61
06:17:48.777001 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.778445 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 65
06:17:48.778516 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 36
06:17:48.778594 IP 10.253.0.1.39746 > 10.253.0.2.50003: UDP, length 61
06:17:48.778669 IP 10.253.0.2.50003 > 10.253.0.1.39746: UDP, length 36
